energy,measured_transmission,modeled_transmission
2.022826177754242,0.0005291925776665598,4.81032673424131e-31
2.0336058255042566,0.000585037846757933,1.178609477422332e-30
2.0443854732542697,9.822692182960992e-05,2.8396421698549393e-30
2.0551651210042845,0.0001250973462343694,6.730232234279633e-30
2.0659447687542993,0.00012167362568105552,1.5697792657152586e-29
2.076724416504316,2.1192236566855555e-05,3.6045720587946406e-29
2.0875040642543308,6.105346986292594e-05,8.151455969638378e-29
2.098283712004344,9.009130013304993e-05,1.8160935861166853e-28
2.1090633597543587,3.390774318942381e-05,3.987618776742942e-28
2.1198430075043735,5.110324725072444e-05,8.631931020839169e-28
2.1306226552543883,1.864167908708541e-05,1.842738233064714e-27
2.141402303004403,4.3662213001006986e-05,3.880781080168888e-27
2.152181950754418,3.1655784568641494e-05,8.065087067815558e-27
